address,eth_balance,cSum
0x674bdf20a0f284d710bc40872100128e2d66bd3f,2.89328E+22,2.33812E+25
0xaae0633e15200bc9c50d45cd762477d268e126bd,2.8888E+22,2.34101E+25
0xbc79855178842fdba0c353494895deef509e26bb,2.60586E+22,2.34362E+25
0x8dc250d5403ba72cbeaf0ac40f7c61c6db3a9a20,2.48E+22,2.3461E+25
0x5c8344bcdc38f1ab5eb5c1d4a35ddeea522b5dfa,2.46458E+22,2.34856E+25
0x4ccf468e9daa56073a1d7004a36e3656900abe30,2.45669E+22,2.35102E+25
0xaab72305897ddf54ef56040e9181f29c668f1c6e,2.45473E+22,2.35347E+25
0x4c0907f7ad337635a7fd414a0c7a938e0d64bf4d,2.4195E+22,2.35589E+25
0xcc6fcfb8b3988043e382a481d6bf482d68897024,2.26368E+22,2.35816E+25
0x6f3f68525e5edad6f06f8b0eae0dd7b9f695af13,2.22362E+22,2.36038E+25
0x43ab622752d766d694c005acfb78b1fc60f35b69,2.17043E+22,2.36255E+25
0x3e40d73eb977dc6a537af587d48316fee66e9c8c,2.13043E+22,2.36468E+25
0xbd02c51150a4ab6ce97b9de2025644594f3e75b8,2.12407E+22,2.3668E+25
0x8eca806aecc86ce90da803b080ca4e3a9b8097ad,2.11458E+22,2.36892E+25
0x8e3a4a7208aa489cc0a1c7290070811b07e60c87,2.0408E+22,2.37096E+25
0xfdd86a96f47015d9c457c841e1d52d06ede16a92,2.02998E+22,2.37299E+25
0x683f29acdc7db4299ee83dc2e3501bd296248128,2.01031E+22,2.375E+25
0x67b66c99d3eb37fa76aa3ed1ff33e8e39f0b9c7a,2.00762E+22,2.37701E+25
0x35ffd6e268610e764ff6944d07760d0efe5e40e5,2.00581E+22,2.37901E+25
0xc5b611f502a0dcf6c3188fd494061ae29b2baa4f,2.00015E+22,2.38101E+25
0x9a9bed3eb03e386d66f8a29dc67dc29bbb1ccb72,2.0001E+22,2.38301E+25
0xcddf488f1c826160ee832d4f1492f00cf8557ff6,2E+22,2.38501E+25
0xf5c7fdc28f37d5bdb67bafb40bf0cc3827d24a34,2E+22,2.38701E+25
0x7b596c8f1b4db131503eb4f4a06f81c99d47dae1,1.9668E+22,2.38898E+25
0xfddc28932c4f3fb35620dfc159728fec425fec07,1.95E+22,2.39093E+25
0xe8bfdf8f47b35418c73af2a2bc4d0d12488e93c5,1.92422E+22,2.39285E+25
0x3842872545a9ba25fea0805cb34e83efde15e1f8,1.90605E+22,2.39476E+25
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1.86435E+22,2.39662E+25
0x3d9256ad37128e9f47b34a82e06e981719477c18,1.84653E+22,2.39847E+25
0x36eed1a4dd70f0731dd20ef76c32345185a8a042,1.83102E+22,2.4003E+25
0x23ea10cc1e6ebdb499d24e45369a35f43627062f,1.80547E+22,2.40211E+25
0xe2cde2af8d4c80028ae03f2abc3d0cbd4ffefe08,1.78986E+22,2.4039E+25
0xdc81b4b18881535ae033d924e6c9719348bdd3b8,1.735E+22,2.40563E+25
0x914b432dad9c29c081f93d84790919335bcbd33f,1.735E+22,2.40737E+25
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1.73072E+22,2.4091E+25
0x519b70055af55a007110b4ff99b0ea33071c720a,1.68625E+22,2.41078E+25
0xc7cd9d874f93f2409f39a95987b3e3c738313925,1.64755E+22,2.41243E+25
0x46e9b06d8e683e28a9b1ca7ced0afe3a4f7f0b29,1.60006E+22,2.41403E+25
0xeae57ce9cc1984f202e15e038b964bb8bdf7229a,1.58448E+22,2.41562E+25
0x121effb8160f7206444f5a57d13c7a4424a237a4,1.58216E+22,2.4172E+25
0x0632dcc37b1fabf2cad20538a5390d23c830962e,1.49448E+22,2.41869E+25
0x4ad341e493917167a99c6f0b7afefb7f081c70b2,1.48899E+22,2.42018E+25
0x764c64b2a09b09acb100b80d8c505aa6a0302ef2,1.47907E+22,2.42166E+25
0xc22fae86443aeed038a4ed887bba8f5035fd12f0,1.42318E+22,2.42308E+25
0x354e1b45f31865132ca1c954c5b2ec9aa87c7fa8,1.4126E+22,2.4245E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.4259E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.42729E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.42869E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43009E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43149E+25
0x000000000000006f6502b7f2bbac8c30a3f67e9a,1.39807E+22,2.43289E+25
